CONTACT;CUSTOMER_LOCATION;ORDER_NO_DATE;REQUIRED_DATE;SHIPPED_DATE;PRODUCT_UNITS;CATEGORY_NAME;QUANTITY;UNIT_PRICE;DISCOUNT
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;10702/2015-10-13;2015-11-24;2015-10-21;Aniseed Syrup (12 - 550 ml bottles );Condiments;6;10;0
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;10643/2015-08-25;2015-09-22;2015-09-02;Chartreuse verte (750 cc per bottle );Beverages;21;18;0.25
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;11011/2016-04-09;2016-05-07;2016-04-13;Escargots de Bourgogne (24 pieces );Seafood;40;13.25;0.05
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;11011/2016-04-09;2016-05-07;2016-04-13;Fløtemysost (10 - 500 g pkgs. );Dairy Products;20;21.5;0
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;10952/2016-03-16;2016-04-27;2016-03-24;Grandma's Boysenberry Spread (12 - 8 oz jars );Condiments;16;25;0.05
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;10702/2015-10-13;2015-11-24;2015-10-21;Lakkalikööri (500 ml );Beverages;15;18;0
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;10835/2016-01-15;2016-02-12;2016-01-21;Original Frankfurter grüne Soße (12 boxes );Condiments;2;13;0.2
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;10835/2016-01-15;2016-02-12;2016-01-21;Raclette Courdavault (5 kg pkg. );Dairy Products;15;55;0
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;10952/2016-03-16;2016-04-27;2016-03-24;Rössle Sauerkraut (25 - 825 g cans );Produce;2;45.6;0
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;10643/2015-08-25;2015-09-22;2015-09-02;Rössle Sauerkraut (25 - 825 g cans );Produce;15;45.6;0.25
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;10643/2015-08-25;2015-09-22;2015-09-02;Spegesild (4 - 450 g glasses );Seafood;2;12;0.25
ALFKI - Alfreds Futterkiste, Maria Anders;Germany, Berlin;10692/2015-10-03;2015-10-31;2015-10-13;Vegie-spread (15 - 625 g jars );Condiments;20;43.9;0
ANATR - Ana Trujillo Emparedados y helados, Ana Trujillo;Mexico, México D.F.;10625/2015-08-08;2015-09-05;2015-08-14;Camembert Pierrot (15 - 300 g rounds );Dairy Products;10;34;0
ANATR - Ana Trujillo Emparedados y helados, Ana Trujillo;Mexico, México D.F.;10308/2014-09-18;2014-10-16;2014-09-24;Gudbrandsdalsost (10 kg pkg. );Dairy Products;1;28.8;0
ANATR - Ana Trujillo Emparedados y helados, Ana Trujillo;Mexico, México D.F.;10926/2016-03-04;2016-04-01;2016-03-11;Konbu (2 kg box );Seafood;10;6;0
ANATR - Ana Trujillo Emparedados y helados, Ana Trujillo;Mexico, México D.F.;10759/2015-11-28;2015-12-26;2015-12-12;Mascarpone Fabioli (24 - 200 g pkgs. );Dairy Products;10;32;0
ANATR - Ana Trujillo Emparedados y helados, Ana Trujillo;Mexico, México D.F.;10926/2016-03-04;2016-04-01;2016-03-11;Mozzarella di Giovanni (24 - 200 g pkgs. );Dairy Products;10;34.8;0
ANATR - Ana Trujillo Emparedados y helados, Ana Trujillo;Mexico, México D.F.;10308/2014-09-18;2014-10-16;2014-09-24;Outback Lager (24 - 355 ml bottles );Beverages;5;12;0
ANATR - Ana Trujillo Emparedados y helados, Ana Trujillo;Mexico, México D.F.;10926/2016-03-04;2016-04-01;2016-03-11;Queso Cabrales (1 kg pkg. );Dairy Products;2;21;0
ANATR - Ana Trujillo Emparedados y helados, Ana Trujillo;Mexico, México D.F.;10625/2015-08-08;2015-09-05;2015-08-14;Singaporean Hokkien Fried Mee (32 - 1 kg pkgs. );Grains/Cereals;5;14;0
ANATR - Ana Trujillo Emparedados y helados, Ana Trujillo;Mexico, México D.F.;10926/2016-03-04;2016-04-01;2016-03-11;Teatime Chocolate Biscuits (10 boxes x 12 pieces );Confections;7;9.2;0
ANATR - Ana Trujillo Emparedados y helados, Ana Trujillo;Mexico, México D.F.;10625/2015-08-08;2015-09-05;2015-08-14;Tofu (40 - 100 g pkgs. );Produce;3;23.25;0
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10573/2015-06-19;2015-07-17;2015-06-20;Alice Mutton (20 - 1 kg tins );Meat/Poultry;18;39;0
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10535/2015-05-13;2015-06-10;2015-05-21;Boston Crab Meat (24 - 4 oz tins );Seafood;10;18.4;0.1
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10856/2016-01-28;2016-02-25;2016-02-10;Chang (24 - 12 oz bottles );Beverages;20;19;0
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10507/2015-04-15;2015-05-13;2015-04-22;Chocolade (10 pkgs. );Confections;15;12.75;0.15
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10682/2015-09-25;2015-10-23;2015-10-01;Geitost (500 g );Dairy Products;30;2.5;0
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10677/2015-09-22;2015-10-20;2015-09-26;Geitost (500 g );Dairy Products;8;2.5;0.15
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10677/2015-09-22;2015-10-20;2015-09-26;Gumbär Gummibärchen (100 - 250 g bags );Confections;30;31.23;0.15
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10507/2015-04-15;2015-05-13;2015-04-22;Ipoh Coffee (16 - 500 g tins );Beverages;15;46;0.15
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10682/2015-09-25;2015-10-23;2015-10-01;Louisiana Hot Spiced Okra (24 - 8 oz jars );Condiments;4;17;0
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10573/2015-06-19;2015-07-17;2015-06-20;Perth Pasties (48 pieces );Meat/Poultry;25;32.8;0
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10365/2014-11-27;2014-12-25;2014-12-02;Queso Cabrales (1 kg pkg. );Dairy Products;24;16.8;0
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10535/2015-05-13;2015-06-10;2015-05-21;Queso Cabrales (1 kg pkg. );Dairy Products;50;21;0.1
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10535/2015-05-13;2015-06-10;2015-05-21;Raclette Courdavault (5 kg pkg. );Dairy Products;15;55;0.1
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10535/2015-05-13;2015-06-10;2015-05-21;Ravioli Angelo (24 - 250 g pkgs. );Grains/Cereals;5;19.5;0.1
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10682/2015-09-25;2015-10-23;2015-10-01;Rhönbräu Klosterbier (24 - 0.5 l bottles );Beverages;30;7.75;0
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10573/2015-06-19;2015-07-17;2015-06-20;Sasquatch Ale (24 - 12 oz bottles );Beverages;40;14;0
ANTON - Antonio Moreno Taquería, Antonio Moreno;Mexico, México D.F.;10856/2016-01-28;2016-02-25;2016-02-10;Singaporean Hokkien Fried Mee (32 - 1 kg pkgs. );Grains/Cereals;20;14;0
AROUT - Around the Horn, Thomas Hardy;UK, London;10768/2015-12-08;2016-01-05;2015-12-15;Camembert Pierrot (15 - 300 g rounds );Dairy Products;15;34;0
